\N	morrison formation	Jurassic|201.30000|145.00000	Precambrian|4000.0000|542.0000
\N	rabbit ears volcanics	Late Cretaceous|99.6000|65.5000	Middle Tertiary|33.9000|23.0300
\N	morrison formation	Late Jurassic|161.2000|145.5000	Tertiary|66.00000|2.58800
\N	troublesome formation	Paleocene|66.00000|56.00000	Precambrian|4000.0000|542.0000
\N	park formation	Late Cretaceous|99.6000|65.5000	Late Oligocene|28.4000|23.0300
\N	park formation	Paleocene|66.00000|56.00000	Late Tertiary|23.0300|2.5880
\N	north park formation	Miocene|23.03000|5.33300	Eocene|56.00000|33.90000
\N	benton formation	Early Cretaceous|145.5000|99.6000	Precambrian|4000.0000|542.0000
\N	niobrara formation	Mesozoic|252.17000|66.00000	Quaternary|2.58800|0.00000
\N	windy gap member	Precambrian|4000.0000|542.0000	Paleocene|66.00000|56.00000
\N	park formation	Paleozoic|541.00000|252.17000	Quaternary|2.58800|0.00000
\N	rabbit ears volcanics	Cretaceous|145.00000|66.00000	Pliocene|5.33300|2.58800
\N	gap volcanic member	Late Cretaceous|99.6000|65.5000	Pliocene|5.33300|2.58800
\N	gap volcanic member	Late Cretaceous|99.6000|65.5000	Pliocene|5.33300|2.58800
\N	colorado shale	Cretaceous|145.00000|66.00000	Precambrian|4000.0000|542.0000
\N	boulder conglomerate	Pliocene|5.33300|2.58800	Precambrian|4000.0000|542.0000
\N	troublesome formation	Quaternary|2.58800|0.00000	Paleocene|66.00000|56.00000
\N	troublesome formation	Quaternary|2.58800|0.00000	Paleocene|66.00000|56.00000
\N	park formation	Late Cretaceous|99.6000|65.5000	Early Tertiary|65.5000|33.9000
\N	park formation	Eocene|56.00000|33.90000	Late Tertiary|23.0300|2.5880
\N	rabbit ears volcanics	Late Cretaceous|99.6000|65.5000	Early Miocene|23.0300|15.9700
\N	north park formation	Early Tertiary|65.5000|33.9000	Late Miocene|11.6080|5.3320
\N	colorado shale	Miocene|23.03000|5.33300	Late Cretaceous|99.6000|65.5000
\N	colorado shale	Late Pliocene|3.6000|2.5880	Cretaceous|145.00000|66.00000
\N	morrison formation	Permian|298.90000|252.17000	Early Cretaceous|145.5000|99.6000
\N	morrison formation	Permian|298.90000|252.17000	Early Cretaceous|145.5000|99.6000
\N	dakota sandstone	Late Cretaceous|99.6000|65.5000	Early Cretaceous|145.5000|99.6000
\N	dakota sandstone	Precambrian|4000.0000|542.0000	Late Jurassic|161.2000|145.5000
\N	park formation	Late Cretaceous|99.6000|65.5000	Oligocene|33.90000|23.03000
\N	windy gap member	Precambrian|4000.0000|542.0000	Late Cretaceous|99.6000|65.5000
\N	windy gap volcanic member	Late Cretaceous|99.6000|65.5000	Pliocene|5.33300|2.58800
\N	windy gap volcanic member	Late Cretaceous|99.6000|65.5000	Pliocene|5.33300|2.58800
\N	north park formation	Late Miocene|11.6080|5.3320	Early Eocene|55.8000|48.6000
\N	park formation	Eocene|56.00000|33.90000	Miocene|23.03000|5.33300
\N	north park formation	Miocene|23.03000|5.33300	Late Cretaceous|99.6000|65.5000
\N	park formation	Late Cretaceous|99.6000|65.5000	Late Miocene|11.6080|5.3320
\N	park formation	Late Cretaceous|99.6000|65.5000	Late Miocene|11.6080|5.3320
\N	pierre shale	Precambrian|4000.0000|542.0000	Mesozoic|252.17000|66.00000
\N	north park formation	Early Eocene|55.8000|48.6000	Late Cretaceous|99.6000|65.5000
\N	troublesome formation	Triassic|252.17000|201.30000	Late Pliocene|3.6000|2.5880
\N	troublesome formation	Late Miocene|11.6080|5.3320	Mesozoic|252.17000|66.00000
\N	pete gulch member	Precambrian|4000.0000|542.0000	Tertiary|66.00000|2.58800
\N	park formation	Middle Miocene|15.9700|11.6080	Paleozoic|541.00000|252.17000
\N	park formation	Late Pliocene|3.6000|2.5880	Paleozoic|541.00000|252.17000
\N	chugwater formation	Precambrian|4000.0000|542.0000	Triassic|252.17000|201.30000
\N	fourchu group	Canadian|485.40000|468.10000	Precambrian|4000.0000|542.0000
\N	colorado shale	Miocene|23.03000|5.33300	Eocene|56.00000|33.90000
\N	park formation	Precambrian|4000.0000|542.0000	Early Eocene|55.8000|48.6000
\N	park formation	Paleocene|66.00000|56.00000	Miocene|23.03000|5.33300
\N	colorado shale	Miocene|23.03000|5.33300	Paleocene|66.00000|56.00000
\N	morrison formation	Tertiary|66.00000|2.58800	Late Jurassic|161.2000|145.5000
\N	windy gap member	Early Tertiary|65.5000|33.9000	Pliocene|5.33300|2.58800
\N	park formation	Precambrian|4000.0000|542.0000	Miocene|23.03000|5.33300
\N	troublesome formation	Quaternary|2.58800|0.00000	Triassic|252.17000|201.30000
\N	colorado shale	Cretaceous|145.00000|66.00000	Cambrian|541.00000|485.40000
\N	benton formation	Precambrian|4000.0000|542.0000	Late Cretaceous|99.6000|65.5000
\N	dakota sandstone	Cretaceous|145.00000|66.00000	Precambrian|4000.0000|542.0000
\N	morrison formation	Early Cretaceous|145.5000|99.6000	Late Jurassic|161.2000|145.5000
\N	park formation	Paleozoic|541.00000|252.17000	Early Eocene|55.8000|48.6000
\N	niobrara formation	Precambrian|4000.0000|542.0000	Late Cretaceous|99.6000|65.5000
\N	park formation	Late Cretaceous|99.6000|65.5000	Eocene|56.00000|33.90000
\N	troublesome formation	Tertiary|66.00000|2.58800	Triassic|252.17000|201.30000
\N	troublesome formation	Quaternary|2.58800|0.00000	Early Tertiary|65.5000|33.9000
\N	north park formation	Paleocene|66.00000|56.00000	Pliocene|5.33300|2.58800
\N	north park formation	Paleocene|66.00000|56.00000	Pliocene|5.33300|2.58800
\N	shale sandstone	Cretaceous|145.00000|66.00000	Cambrian|541.00000|485.40000
\N	park formation	Paleozoic|541.00000|252.17000	Miocene|23.03000|5.33300
\N	park formation	Late Eocene|37.2000|33.9000	Precambrian|4000.0000|542.0000
\N	colorado shale	Precambrian|4000.0000|542.0000	Cretaceous|145.00000|66.00000
\N	troublesome formation	Precambrian|4000.0000|542.0000	Cenozoic|66.00000|0.00000
\N	north park formation	Late Tertiary|23.0300|2.5880	Early Eocene|55.8000|48.6000
\N	troublesome formation	Middle Miocene|15.9700|11.6080	Precambrian|4000.0000|542.0000
\N	troublesome formation	Late Pliocene|3.6000|2.5880	Precambrian|4000.0000|542.0000
\N	windy gap member	Precambrian|4000.0000|542.0000	Early Tertiary|65.5000|33.9000
\N	north park formation	Eocene|56.00000|33.90000	Pliocene|5.33300|2.58800
\N	troublesome formation	Paleocene|66.00000|56.00000	Early Pliocene|5.3320|3.6000
